Year,Month,Week,Infected,Avg household size,Population,Under_18,18-24,25-44,45-64,Above_65,Median_age,indexedCountry,indexedRegion,indexedDisease
2010,11,46,1,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,11,46,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,11,46,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,11,47,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,11,47,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,11,47,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,12,48,1,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,12,48,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,12,48,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,12,49,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,12,49,1,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,12,49,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,12,50,3,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,12,50,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,12,50,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,12,51,4,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,12,51,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,12,51,1,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,1,1,9,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,1,1,1,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,1,1,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,1,2,8,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,1,2,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,1,2,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,1,3,12,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,1,3,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,1,3,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,1,4,9,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,1,4,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,1,4,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,1,52,5,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,1,52,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,1,52,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,2,5,8,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,2,5,1,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,2,5,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,2,6,3,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,2,6,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,2,6,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,2,7,7,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,2,7,1,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,2,7,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,2,8,4,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,2,8,1,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,2,8,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,3,9,4,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,3,9,2,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,3,9,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,3,10,10,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,3,10,5,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,3,10,2,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,3,11,4,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,3,11,3,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,3,11,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,3,12,2,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,3,12,4,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,3,12,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,4,13,7,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,4,13,2,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,4,13,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,4,14,5,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,4,14,2,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,4,14,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,4,15,4,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,4,15,2,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
